Position,Username,Score,Submits,Last Submit,Submitsold,Top Score,Last Submitold
56,joaopeinado,5.46386,3,2021-07-16 18:32:29 UTC,3,5.46386,2021-07-16 18:32:29 UTC
57,rcmartinb,5.498,2,2021-07-16 17:50:51 UTC,2,5.498,2021-07-16 17:50:51 UTC
58,datacuber,5.50262,3,2021-07-27 03:53:00 UTC,3,5.50262,2021-07-27 03:53:00 UTC
59,nicalvarez,5.53329,4,2021-08-06 03:03:54 UTC,4,5.53329,2021-08-06 03:03:54 UTC
60,ciroca,5.64664,2,2021-07-25 02:04:01 UTC,2,5.64664,2021-07-25 02:04:01 UTC
61,thiagoflm,5.80738,1,2021-08-02 15:01:42 UTC,1,5.80738,2021-08-02 15:01:42 UTC
62,giba,6.05852,12,2021-08-05 18:01:27 UTC,12,6.05852,2021-08-05 18:01:27 UTC
63,amandoc,6.08827,2,2021-07-27 18:56:36 UTC,2,6.08827,2021-07-27 18:56:36 UTC
64,Felipe Carneiro Wanderley,6.22919,5,2021-08-09 06:15:00 UTC,5,6.22919,2021-08-09 06:15:00 UTC
65,evertonaleixo,6.26524,5,2021-07-25 21:53:13 UTC,5,6.26524,2021-07-25 21:53:13 UTC
66,Gabo,6.30129,32,2021-08-08 20:32:08 UTC,32,6.30129,2021-08-08 20:32:08 UTC
67,larri,6.35753,3,2021-08-09 05:51:41 UTC,3,6.35753,2021-08-09 05:51:41 UTC
68,andre,6.45582,3,2021-07-24 15:54:05 UTC,3,6.45582,2021-07-24 15:54:05 UTC
69,gabrieljgimenez,6.55801,3,2021-08-04 01:27:36 UTC,3,6.55801,2021-08-04 01:27:36 UTC
70,lean_franco,6.61724,1,2021-07-21 22:29:05 UTC,1,6.61724,2021-07-21 22:29:05 UTC
71,gabrielmpaula,6.82657,4,2021-07-23 00:13:06 UTC,4,6.82657,2021-07-23 00:13:06 UTC
72,assuncaolfi,7.22268,6,2021-08-09 03:19:06 UTC,6,7.22268,2021-08-09 03:19:06 UTC
73,giselecosta,7.27068,3,2021-08-04 01:32:31 UTC,3,7.27068,2021-08-04 01:32:31 UTC
74,diegulio,7.42876,1,2021-08-09 04:56:59 UTC,1,7.42876,2021-08-09 04:56:59 UTC
75,slportela,7.45733,7,2021-08-09 03:31:52 UTC,7,7.45733,2021-08-09 03:31:52 UTC
76,jcnok,7.62747,5,2021-08-07 03:51:24 UTC,5,7.62747,2021-08-07 03:51:24 UTC
77,Laika,7.71368,9,2021-08-05 23:43:58 UTC,9,7.71368,2021-08-05 23:43:58 UTC
78,LucaxZonin,7.90991,1,2021-07-22 06:08:37 UTC,1,7.90991,2021-07-22 06:08:37 UTC
79,Bruno9tg,7.95723,27,2021-08-03 14:07:37 UTC,27,7.95723,2021-08-03 14:07:37 UTC
80,leocneves,8.11578,1,2021-07-17 22:34:03 UTC,1,8.11578,2021-07-17 22:34:03 UTC
82,r2,8.12473,2,2021-08-01 14:15:41 UTC,2,8.12473,2021-08-01 14:15:41 UTC
83,eduagarcia,8.40827,7,2021-07-21 00:44:42 UTC,7,8.40827,2021-07-21 00:44:42 UTC
84,icecool,8.42247,3,2021-08-06 02:15:18 UTC,3,8.42247,2021-08-06 02:15:18 UTC
85,ngaggion,8.43024,2,2021-07-19 13:30:27 UTC,2,8.43024,2021-07-19 13:30:27 UTC
86,vitaliset,8.5634,4,2021-07-27 02:30:28 UTC,4,8.5634,2021-07-27 02:30:28 UTC
87,gabrielguarisa,8.58993,3,2021-07-27 00:02:19 UTC,3,8.58993,2021-07-27 00:02:19 UTC
88,lux,9.08,3,2021-07-30 04:25:19 UTC,3,9.08,2021-07-30 04:25:19 UTC
89,nickel,9.88957,8,2021-07-21 04:23:56 UTC,8,9.88957,2021-07-21 04:23:56 UTC
90,melifluo,9.9344,6,2021-08-03 23:39:02 UTC,6,9.9344,2021-08-03 23:39:02 UTC
91,Pablo,10.37507,7,2021-07-25 02:21:20 UTC,7,10.37507,2021-07-25 02:21:20 UTC
