Username,borda count,sum of scores,id,churn,propensity category,propensity sku,hidden1,hidden2,hidden3,borda countold,sum of scoresold,idold,churnold,propensity categoryold,propensity skuold,hidden1old,hidden2old,hidden3old,Top Score,top borda count
mitsuha0258,93,4.0437,279365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,93,4.0437,279365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,93
s_coder_nl,89,3.8994,285644,0.5226,0.7146,0.6354,0.6585,0.6303,0.738,89,3.8994,285644,0.5226,0.7146,0.6354,0.6585,0.6303,0.738,3.8994,89
dwzhang,87,4.0437,282849,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,87,4.0437,282849,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,87
thekoalaperson,81,4.0437,283217,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,81,4.0437,283217,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,81
shay123,75,4.0437,283867,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,75,4.0437,283867,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,75
raphaelfs,73,4.0154,283857,0.6884,0.6817,0.6541,0.6355,0.6485,0.7072,73,4.0154,283857,0.6884,0.6817,0.6541,0.6355,0.6485,0.7072,4.0154,73
jmarrietar,69,4.0437,285088,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,69,4.0437,285088,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,69
melomelo,64,3.809,284613,0.5141,0.6755,0.5931,0.618,0.6991,0.7092,64,3.809,284613,0.5141,0.6755,0.5931,0.618,0.6991,0.7092,3.809,64
shichimi3,62,3.8993,274152,0.6044,0.6928,0.6327,0.618,0.6374,0.714,62,3.8993,274152,0.6044,0.6928,0.6327,0.618,0.6374,0.714,3.8993,62
rec2,45,3.969,283334,0.6832,0.6707,0.64,0.6266,0.6558,0.6927,45,3.969,283334,0.6832,0.6707,0.64,0.6266,0.6558,0.6927,3.969,45
bicsu,39,3.6537,269665,0.5291,0.6412,0.6173,0.5291,0.6813,0.6557,39,3.6537,269665,0.5291,0.6412,0.6173,0.5291,0.6813,0.6557,3.6537,39
dandelion,16,3.63,275565,0.5996,0.6373,0.5861,0.5996,0.5756,0.6318,16,3.63,275565,0.5996,0.6373,0.5861,0.5996,0.5756,0.6318,3.63,16
team-MMTY,11,3.4739,283103,0.5577,0.5984,0.5705,0.5073,0.6266,0.6134,11,3.4739,283103,0.5577,0.5984,0.5705,0.5073,0.6266,0.6134,3.4739,11
pw_tuwien,0,3.3247,283775,0.5,0.5931,0.5596,0.5,0.5756,0.5964,0,3.3247,283775,0.5,0.5931,0.5596,0.5,0.5756,0.5964,3.3247,0
