Position,Username,Score,Submits,Last Submit,Submitsold,Top Score,Last Submitold
40,danielph,5.13169,1,2021-07-16 20:55:11 UTC,1,5.13169,2021-07-16 20:55:11 UTC
44,lgodoy,5.13169,1,2021-07-21 18:44:08 UTC,1,5.13169,2021-07-21 18:44:08 UTC
41,haroldgarcia94,5.13169,1,2021-07-20 04:29:46 UTC,1,5.13169,2021-07-20 04:29:46 UTC
48,toro366,5.13169,1,2021-07-26 14:53:03 UTC,1,5.13169,2021-07-26 14:53:03 UTC
49,anabeatriz,5.13169,1,2021-07-26 22:00:18 UTC,1,5.13169,2021-07-26 22:00:18 UTC
45,Fabricio,5.13169,1,2021-07-22 23:07:26 UTC,1,5.13169,2021-07-22 23:07:26 UTC
47,fabiancpl,5.13169,1,2021-07-24 14:23:57 UTC,1,5.13169,2021-07-24 14:23:57 UTC
46,santik,5.13169,4,2021-07-23 18:43:34 UTC,4,5.13169,2021-07-23 18:43:34 UTC
60,larry96,5.13317,14,2021-08-02 01:50:46 UTC,14,5.13317,2021-08-02 01:50:46 UTC
61,abjimenez,5.15693,23,2021-08-02 05:31:24 UTC,23,5.15693,2021-08-02 05:31:24 UTC
74,mmft,6.03067,5,2021-08-12 14:14:06 UTC,5,5.20045,2021-08-12 14:14:06 UTC
99,Ivo,9.26419,16,2021-08-11 12:02:43 UTC,16,5.25659,2021-08-11 12:02:43 UTC
62,fede_gr,5.26665,22,2021-07-24 00:47:47 UTC,22,5.26665,2021-07-24 00:47:47 UTC
63,eptos2,5.26683,3,2021-08-02 02:47:04 UTC,3,5.26683,2021-08-02 02:47:04 UTC
64,lain,5.39712,2,2021-08-03 00:32:30 UTC,2,5.39712,2021-08-03 00:32:30 UTC
65,marck,5.45618,7,2021-08-04 22:16:59 UTC,7,5.45618,2021-08-04 22:16:59 UTC
66,joaopeinado,5.46386,3,2021-07-16 18:32:29 UTC,3,5.46386,2021-07-16 18:32:29 UTC
68,rcmartinb,5.498,2,2021-07-16 17:50:51 UTC,2,5.498,2021-07-16 17:50:51 UTC
69,datacuber,5.50262,3,2021-07-27 03:53:00 UTC,3,5.502619999999999,2021-07-27 03:53:00 UTC
71,ciroca,5.64664,2,2021-07-25 02:04:01 UTC,2,5.64664,2021-07-25 02:04:01 UTC
72,thiagoflm,5.80738,1,2021-08-02 15:01:42 UTC,1,5.80738,2021-08-02 15:01:42 UTC
73,diegulio,6.02152,5,2021-08-11 00:26:57 UTC,5,6.02152,2021-08-11 00:26:57 UTC
75,giba,6.05852,12,2021-08-05 18:01:27 UTC,12,6.05852,2021-08-05 18:01:27 UTC
76,amandoc,6.08827,2,2021-07-27 18:56:36 UTC,2,6.08827,2021-07-27 18:56:36 UTC
77,evertonaleixo,6.26524,5,2021-07-25 21:53:13 UTC,5,6.26524,2021-07-25 21:53:13 UTC
83,assuncaolfi,7.22268,6,2021-08-09 03:19:06 UTC,6,6.32577,2021-08-09 03:19:06 UTC
78,larri,6.35753,3,2021-08-09 05:51:41 UTC,3,6.35753,2021-08-09 05:51:41 UTC
79,andre,6.45582,3,2021-07-24 15:54:05 UTC,3,6.45582,2021-07-24 15:54:05 UTC
80,gabrieljgimenez,6.55801,3,2021-08-04 01:27:36 UTC,3,6.55801,2021-08-04 01:27:36 UTC
81,Gerardo_Bossio,6.63323,1,2021-08-11 13:42:14 UTC,1,6.63323,2021-08-11 13:42:14 UTC
82,gabrielmpaula,6.82657,4,2021-07-23 00:13:06 UTC,4,6.826569999999999,2021-07-23 00:13:06 UTC
84,giselecosta,7.27068,3,2021-08-04 01:32:31 UTC,3,7.27068,2021-08-04 01:32:31 UTC
85,melifluo,7.5292,7,2021-08-10 20:51:56 UTC,7,7.5292,2021-08-10 20:51:56 UTC
86,Laika,7.71368,9,2021-08-05 23:43:58 UTC,9,7.71368,2021-08-05 23:43:58 UTC
87,LucaxZonin,7.90991,1,2021-07-22 06:08:37 UTC,1,7.90991,2021-07-22 06:08:37 UTC
93,icecool,8.42247,3,2021-08-06 02:15:18 UTC,3,7.92362,2021-08-06 02:15:18 UTC
88,Bruno9tg,7.95723,27,2021-08-03 14:07:37 UTC,27,7.95723,2021-08-03 14:07:37 UTC
90,leocneves,8.11578,1,2021-07-17 22:34:03 UTC,1,8.11578,2021-07-17 22:34:03 UTC
92,r2,8.12473,2,2021-08-01 14:15:41 UTC,2,8.12473,2021-08-01 14:15:41 UTC
94,ngaggion,8.43024,2,2021-07-19 13:30:27 UTC,2,8.43024,2021-07-19 13:30:27 UTC
95,vitaliset,8.5634,4,2021-07-27 02:30:28 UTC,4,8.5634,2021-07-27 02:30:28 UTC
96,gabrielguarisa,8.58993,3,2021-07-27 00:02:19 UTC,3,8.58993,2021-07-27 00:02:19 UTC
98,lux,9.08,3,2021-07-30 04:25:19 UTC,3,9.08,2021-07-30 04:25:19 UTC
100,nickel,9.88957,8,2021-07-21 04:23:56 UTC,8,9.88957,2021-07-21 04:23:56 UTC
101,Pablo,10.37507,7,2021-07-25 02:21:20 UTC,7,10.37507,2021-07-25 02:21:20 UTC
